Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n0,0,1.0000,1.000000,100000.00,369.801402,112.560602,79255.098345,20262.539651
n1,1,0.5000,1.000000,98078.22,77326.857968,1729.217969,1538.884771,17483.262083
n2,1,0.5000,1.000000,99054.00,56504.201602,1225.655989,40024.142883,1299.999758
n3,2,0.2500,1.000000,95100.99,1476.575813,1843.384556,73604.062317,18176.969283
n4,2,0.2500,1.000000,99558.03,9684.952276,7110.236939,4685.312103,78077.533619
n5,2,0.2500,1.000000,98660.51,19150.293962,1572.778268,1564.093003,76373.341689
n6,2,0.2500,1.000000,86657.53,1341.486052,904.248887,52530.809494,31880.986499
n7,3,0.1250,1.000000,95518.62,31766.750761,3117.525886,4868.431250,55765.913895
n8,3,0.1250,1.000000,89814.38,659.381780,1517.213478,49692.719401,37945.070045
n9,3,0.1250,1.000000,103311.36,1750.455601,2310.438378,20296.089061,78954.376535
n10,3,0.1250,1.000000,101619.96,770.781095,1488.109710,66670.258565,32690.806137
n11,3,0.1250,1.000000,100682.54,27298.594916,1922.466273,7778.003986,63683.474074
n12,3,0.1250,1.000000,103203.96,53516.676390,1891.103952,10662.982340,37133.200723
n13,3,0.1250,1.000000,88321.42,14869.203723,2378.467934,43384.219496,27689.533828
n14,3,0.1250,1.000000,88803.63,2563.361075,62782.606010,3779.054340,19678.609771
n15,4,0.0625,1.000000,103978.20,76287.379046,13484.749801,4849.446372,9356.628726
n16,4,0.0625,1.000000,98487.18,1954.566043,70972.065665,2870.844452,22689.708007
n17,4,0.0625,1.000000,93255.18,4420.466815,2608.006830,28666.539271,57560.166698
n18,4,0.0625,1.000000,88484.18,19939.157882,12926.685805,26362.325362,29256.008719
n19,4,0.0625,1.000000,107222.75,6296.976583,83349.910204,6119.428718,11456.434970
n20,4,0.0625,1.000000,106651.12,42660.438684,50927.715664,4941.396800,8121.571202
n21,4,0.0625,1.000000,101867.72,3836.906462,15155.279435,55717.645442,27157.885854
n22,4,0.0625,1.000000,104690.30,4407.103073,73739.149386,5790.744843,20753.300270
n23,4,0.0625,1.000000,97308.71,5109.194422,24399.451826,36779.636327,31020.428032
n24,4,0.0625,1.000000,106918.09,28560.542218,5599.132054,52387.402367,20371.010855
n25,4,0.0625,1.000000,111381.07,698.177467,83271.899966,1433.257388,25977.731056
n26,4,0.0625,1.000000,96705.56,3090.025258,4181.906053,28447.425079,60986.204165
n27,4,0.0625,1.000000,92446.41,25372.589061,2096.795236,54030.238119,10946.790741
n28,4,0.0625,1.000000,85535.75,14423.202225,6280.174630,51926.629539,12905.738662
n29,4,0.0625,1.000000,86428.62,24638.953015,13834.032951,10558.668573,37396.963930
n30,4,0.0625,1.000000,87640.18,1714.525298,17421.068881,6784.207338,61720.382444
n31,5,0.0312,1.000000,92754.12,3659.757866,55479.652251,8173.641385,25441.065762
n32,5,0.0312,1.000000,96512.46,21996.582836,58736.768358,6666.363467,9112.745648
n33,5,0.0312,1.000000,105508.36,4124.969861,2716.299326,29629.666799,69037.423977
n34,5,0.0312,1.000000,93785.44,2261.220764,5097.644529,28376.075817,58050.502185
n35,5,0.0312,1.000000,99134.65,4235.829259,3288.333244,31974.407573,59636.084368
n36,5,0.0312,1.000000,94707.14,29421.017843,10031.517669,20987.922203,34266.684203
n37,5,0.0312,1.000000,84063.96,34459.400734,21803.240508,11366.231726,16435.083697
n38,5,0.0312,1.000000,91093.62,2148.103735,48984.438293,10551.764883,29409.309976
n39,5,0.0312,1.000000,91711.31,8430.009087,13601.420005,25022.375356,44657.508151
n40,5,0.0312,1.000000,105629.26,2948.421746,6477.298173,17989.433083,78214.102867
n41,5,0.0312,1.000000,98742.91,62365.545103,23424.688235,5747.333009,7205.339340
n42,5,0.0312,1.000000,112218.96,77867.302426,22403.321487,5536.374166,6411.958250
n43,5,0.0312,1.000000,104785.69,2234.682762,26876.522818,17407.020373,58267.461439
n44,5,0.0312,1.000000,101734.06,3206.017214,61337.644360,26061.932021,11128.462209
n45,5,0.0312,1.000000,100721.35,2318.341656,8869.849576,28203.368514,61329.793887
n46,5,0.0312,1.000000,111594.46,14483.532618,64839.138031,8862.991648,23408.793653
n47,5,0.0312,1.000000,101927.04,12944.811276,13170.704172,49743.377040,26068.152463
n48,5,0.0312,1.000000,89668.59,32863.601261,36041.762080,11384.757059,9378.470941
n49,5,0.0312,1.000000,107402.24,26139.026171,41319.601232,26741.640231,13201.972616
n50,5,0.0312,1.000000,110905.11,4210.877175,80768.901127,5637.855970,20287.480291
n51,5,0.0312,1.000000,111822.79,40098.900096,6890.268127,27014.515745,37819.102878
n52,5,0.0312,1.000000,108706.99,2025.142643,2415.252028,23932.755153,80333.836413
n53,5,0.0312,1.000000,99085.15,34565.245923,34343.809415,19395.477019,10780.619100
n54,5,0.0312,1.000000,99888.43,3149.654049,2724.803845,63057.676601,30956.299947
n55,5,0.0312,1.000000,95159.68,6430.754997,8836.936492,22707.140262,57184.847216
n56,5,0.0312,1.000000,89265.81,10163.680423,3181.494108,25676.777093,50243.853836
n57,5,0.0312,1.000000,81454.10,8210.253636,12050.533601,38884.952460,22308.357587
n58,5,0.0312,1.000000,85243.25,21160.797301,19918.426166,23793.830626,20370.192251
