Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n0,0,1.0000,1.000000,100000.00,19931.294195,79998.122184,2.901368,67.682254
n1,1,0.5000,1.000000,114815.54,9.044232,91834.933859,22949.941886,21.620468
n2,1,0.5000,1.000000,115424.73,12.239909,92299.309173,0.000003,23113.177691
n3,2,0.2500,1.000000,124882.91,11697.179052,18813.998559,26710.727451,67661.008689
n4,2,0.2500,1.000000,116114.53,36168.766820,23488.759311,23043.314183,33413.690088
n5,2,0.2500,1.000000,111394.42,5112.962547,15528.142799,19166.481703,71586.837139
n6,2,0.2500,1.000000,125547.36,71840.450872,2703.250456,33158.877041,17844.778960
n7,3,0.1250,1.000000,124659.54,86892.889282,6684.566700,12240.439471,18841.641052
n8,3,0.1250,1.000000,127517.39,878.455125,1903.874166,59966.877604,64768.178929
n9,3,0.1250,1.000000,124155.84,1966.672711,3055.710646,42535.181161,76598.276100
n10,3,0.1250,1.000000,120657.35,1729.004472,2472.586686,55474.271524,60981.485618
n11,3,0.1250,1.000000,115520.39,3230.622363,22686.558866,25791.315890,63811.891683
n12,3,0.1250,1.000000,117585.17,18999.519898,5357.564144,31640.550298,61587.536905
n13,3,0.1250,1.000000,135169.21,8417.897214,1720.295582,71516.719474,53514.293006
n14,3,0.1250,1.000000,135541.32,2241.560593,93418.057570,6530.006866,33351.694591
n15,4,0.0625,1.000000,143611.01,111323.964391,16929.999640,5045.329788,10311.713139
n16,4,0.0625,1.000000,126079.23,2330.319558,91416.047790,3368.544604,28964.320682
n17,4,0.0625,1.000000,132073.72,4021.623372,1933.348474,39268.322228,86850.425810
n18,4,0.0625,1.000000,126067.47,12654.634794,10816.443914,28246.371764,74350.020822
n19,4,0.0625,1.000000,129179.88,15910.199455,98622.368840,5631.983458,9015.326484
n20,4,0.0625,1.000000,129677.13,38306.581373,63120.403442,10749.681641,17500.463339
n21,4,0.0625,1.000000,121637.75,7680.520319,19241.074117,57705.343181,37010.817257
n22,4,0.0625,1.000000,124415.73,5957.560403,85127.599415,7146.992469,26183.574864
n23,4,0.0625,1.000000,117402.32,5441.427537,5180.740398,50514.981599,56265.169898
n24,4,0.0625,1.000000,121922.27,36892.367297,7816.394345,52793.285904,24420.222256
n25,4,0.0625,1.000000,122308.01,1154.327957,88101.200282,2287.489678,30764.991597
n26,4,0.0625,1.000000,116760.29,3625.196068,4710.290650,41422.097525,67002.706109
n27,4,0.0625,1.000000,139163.06,37889.204446,1044.587789,93748.346938,6480.922133
n28,4,0.0625,1.000000,134917.40,18137.823519,2853.666380,102716.547987,11209.359010
n29,4,0.0625,1.000000,132087.19,51542.072275,52353.855479,5258.082565,22933.176437
n30,4,0.0625,1.000000,133742.03,721.621196,24828.241465,4629.694418,103562.469334
n31,5,0.0312,1.000000,127392.35,2458.219020,86918.521556,6487.371175,31528.234338
n32,5,0.0312,1.000000,132088.43,24486.940107,95912.304722,4670.392349,7018.793695
n33,5,0.0312,1.000000,135057.13,3064.626384,2024.344481,35635.221048,94332.939930
n34,5,0.0312,1.000000,119931.29,1703.718375,4011.332206,33918.853877,80297.388016
n35,5,0.0312,1.000000,139560.47,2511.171692,1887.888959,39495.598369,95665.807312
n36,5,0.0312,1.000000,134142.05,42213.722173,7536.723942,25243.934453,59147.674222
n37,5,0.0312,1.000000,122360.58,77286.772025,25995.965823,7065.807059,12012.035215
n38,5,0.0312,1.000000,129647.27,1110.105819,82201.299495,7230.246072,39105.619021
n39,5,0.0312,1.000000,112165.02,9264.278734,14125.057956,30949.026954,57826.653291
n40,5,0.0312,1.000000,126802.89,2734.919519,6429.159458,21324.663110,96314.145939
n41,5,0.0312,1.000000,124012.47,78381.537297,31293.574953,6571.303483,7766.054786
n42,5,0.0312,1.000000,134170.69,84566.221678,36754.952747,5913.699951,6935.816185
n43,5,0.0312,1.000000,125119.94,2331.258733,32273.564131,19633.970496,70881.148971
n44,5,0.0312,1.000000,122131.76,3346.949461,74716.536865,31477.813766,12590.464124
n45,5,0.0312,1.000000,120006.05,2214.873734,8873.150401,32699.857144,76218.173325
n46,5,0.0312,1.000000,132501.21,15011.040198,69104.331447,10296.725245,38089.110817
n47,5,0.0312,1.000000,120164.41,14292.322771,14965.102072,59314.585033,31592.399894
n48,5,0.0312,1.000000,114000.34,44300.890622,43645.577436,14522.278497,11531.592872
n49,5,0.0312,1.000000,122558.63,30060.067304,47074.055709,31167.273640,14257.228380
n50,5,0.0312,1.000000,126558.28,4809.402085,92153.265850,6440.736781,23154.874918
n51,5,0.0312,1.000000,123055.68,27197.612428,8246.986521,33515.038595,54096.038602
n52,5,0.0312,1.000000,119737.23,2349.189314,2776.690618,26782.595378,87828.753604
n53,5,0.0312,1.000000,120003.79,43829.492040,39411.596029,24512.325327,12250.379877
n54,5,0.0312,1.000000,120465.39,3120.559827,2650.666979,78083.032055,36611.126703
n55,5,0.0312,1.000000,142319.47,3599.179244,5653.504842,27483.308338,105583.477114
n56,5,0.0312,1.000000,134183.70,5648.056632,1036.099885,31159.479592,96340.068743
n57,5,0.0312,1.000000,125527.11,3140.622723,6402.022729,86918.804362,29065.659947
n58,5,0.0312,1.000000,133821.76,37514.574612,21077.284275,45049.066937,30180.838487
n59,5,0.0312,1.000000,127667.06,44101.515064,75630.075540,2449.474129,5485.999755
n60,5,0.0312,1.000000,112675.02,4913.855634,4279.246507,65253.234869,38228.680760
n61,5,0.0312,1.000000,134836.71,6749.804781,8809.044716,85599.460528,33678.404066
n62,5,0.0312,1.000000,138899.39,4952.940395,24342.955297,4003.333763,105600.158060
n63,6,0.0156,1.000000,134562.08,8558.085817,93991.332394,15594.255517,16418.411203
n64,6,0.0156,1.000000,126513.29,4917.105988,56456.868778,7180.638673,57958.680990
n65,6,0.0156,1.000000,111277.93,5410.117986,41139.849685,24276.822844,40451.136384
n66,6,0.0156,1.000000,139811.62,77404.395453,43207.823995,12492.855618,6706.548142
n67,6,0.0156,1.000000,137922.24,99998.810103,22763.989494,5624.041950,9535.394007
n68,6,0.0156,1.000000,138866.30,4044.658958,14705.045656,14444.369809,105672.225045
n69,6,0.0156,1.000000,126065.93,4309.594721,6735.179217,36008.870851,79012.287810
n70,6,0.0156,1.000000,122890.54,6662.726134,10379.623751,66896.442527,38951.751454
n71,6,0.0156,1.000000,144143.86,112543.584791,7987.812428,9976.804626,13635.659230
n72,6,0.0156,1.000000,143995.27,4270.930051,1613.267188,51828.024567,86283.047985
n73,6,0.0156,1.000000,143530.57,7268.822564,8889.843872,20869.255839,106502.646198
n74,6,0.0156,1.000000,127933.26,3347.616421,4203.426586,39043.926086,81338.294380
n75,6,0.0156,1.000000,106919.84,28543.126278,25227.577734,12788.933855,40360.205209
n76,6,0.0156,1.000000,126727.70,71265.996743,15559.982594,32518.699752,7383.018693
n77,6,0.0156,1.000000,132135.08,5391.697628,6397.520066,27532.722818,92813.139721
n78,6,0.0156,1.000000,134607.38,8506.297808,7444.156675,23964.713806,94692.216450
n79,6,0.0156,1.000000,117324.93,6069.994742,7171.717322,65156.138821,38927.075030
n80,6,0.0156,1.000000,113403.50,6109.250437,69804.677645,15560.304070,21929.265316
n81,6,0.0156,1.000000,134345.92,3654.041132,6082.985705,29741.195329,94867.699588
n82,6,0.0156,1.000000,132015.67,6108.400889,3956.407495,60994.243398,60956.620422
n83,6,0.0156,1.000000,117276.92,7197.500748,5372.103566,25874.821095,78832.490288
n84,6,0.0156,1.000000,111939.64,17394.016004,64513.919065,8164.829304,21866.872823
n85,6,0.0156,1.000000,120027.54,35920.069913,12535.880798,17449.031396,54122.552974
n86,6,0.0156,1.000000,122790.63,76426.736684,7787.500172,18178.166489,20398.228816
n87,6,0.0156,1.000000,127447.55,4326.954549,8526.707125,77362.705768,37231.177992
n88,6,0.0156,1.000000,129690.17,22076.630311,88875.246960,7704.381215,11033.908761
n89,6,0.0156,1.000000,119827.51,70082.817146,13661.411578,13868.737938,22214.547591
n90,6,0.0156,1.000000,118382.63,4622.623026,5508.937995,55146.099256,53104.974532
n91,6,0.0156,1.000000,123439.51,18223.901791,6955.642898,35427.829936,62832.136477
n92,6,0.0156,1.000000,124215.71,6922.935243,16193.823575,16102.733161,84996.221605
n93,6,0.0156,1.000000,117461.32,59042.266096,11507.524646,22611.026747,24300.498856
n94,6,0.0156,1.000000,143687.18,2256.774396,6120.658686,66313.189632,68996.559137
n95,6,0.0156,1.000000,117042.16,7248.220178,11557.323977,32172.049629,66064.562221
n96,6,0.0156,1.000000,124578.55,2137.169959,75317.447476,10004.458779,37119.477317
n97,6,0.0156,1.000000,107666.51,15613.831375,52102.504451,13729.740530,26220.436147
n98,6,0.0156,1.000000,105736.25,5652.496897,22164.176743,38148.200008,39771.376522
n99,6,0.0156,1.000000,122204.54,6822.079836,14468.235459,39594.292450,61319.928435
n100,6,0.0156,1.000000,125526.89,56480.861182,12299.836775,14880.139487,41866.054402
n101,6,0.0156,1.000000,132158.05,3818.084641,93211.070540,10776.992372,24351.905919
n102,6,0.0156,1.000000,116892.99,3433.470625,45470.673408,42565.487517,25423.358889
n103,6,0.0156,1.000000,128121.14,1967.929219,6777.120968,30843.769988,88532.324138
n104,6,0.0156,1.000000,119830.33,62902.727422,7908.379439,11909.530849,37109.695506
n105,6,0.0156,1.000000,124189.82,8944.910240,10177.388344,76079.768900,28987.754856
n106,6,0.0156,1.000000,123635.66,2586.569261,5637.987885,40960.325316,74450.775226
n107,6,0.0156,1.000000,117003.04,12296.919376,3983.608664,52565.725480,48156.781845
n108,6,0.0156,1.000000,123846.06,37392.651502,58996.955431,12165.551913,15290.896450
n109,6,0.0156,1.000000,120087.86,7126.239792,6722.043355,24367.786093,81871.795401
n110,6,0.0156,1.000000,126660.40,2197.107540,3205.971384,80363.084468,40894.240977
n111,6,0.0156,1.000000,147180.04,1746.368842,4126.381766,58540.322345,82766.965991
n112,6,0.0156,1.000000,150200.21,109645.081620,3919.668862,12049.625919,24585.835468
n113,6,0.0156,1.000000,138462.75,78040.873782,12653.169368,32927.303135,14841.402132
n114,6,0.0156,1.000000,137563.92,21066.259298,9541.352532,11012.316664,95943.987175
n115,6,0.0156,1.000000,129563.17,2998.022274,53374.820251,7387.100567,65803.227908
n116,6,0.0156,1.000000,123539.03,10965.439522,7865.565312,67560.237112,37147.785736
n117,6,0.0156,1.000000,133285.88,2226.662159,78363.480093,12850.098505,39845.642346
n118,6,0.0156,1.000000,135054.90,2554.215430,3543.319697,61167.543671,67789.823715
n119,6,0.0156,1.000000,126226.87,20208.751330,5457.154280,47130.228187,53430.732434
n120,6,0.0156,1.000000,118278.94,86940.974698,5840.804359,10398.993596,15098.163956
n121,6,0.0156,1.000000,118397.76,14505.419738,8224.669960,64838.451588,30829.222070
n122,6,0.0156,1.000000,110289.10,20773.502358,15644.051245,24011.307068,49860.242293
n123,6,0.0156,1.000000,138235.88,13884.684909,32415.299887,13093.643752,78842.247115
n124,6,0.0156,1.000000,133533.86,12024.325981,7635.235599,43715.658777,70158.641470
n125,6,0.0156,1.000000,145478.59,5519.251611,2636.592519,45988.787109,91333.963658
n126,6,0.0156,1.000000,140339.46,38541.856653,10032.448967,8494.119987,83271.036382
