Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n0,0,1.0000,2.800000,100000.00,19997.273573,79999.425866,0.853571,2.446990
n1,1,0.5000,2.600000,114816.56,2.557015,91779.701960,23019.146526,15.155597
n2,1,0.5000,2.600000,115431.19,1.406267,92337.426182,8.967148,23083.394788
n3,2,0.2500,2.400000,124878.95,99802.167031,25046.163569,13.479251,17.138727
n4,2,0.2500,2.400000,116120.00,3174.691622,20558.999305,92380.140283,6.173446
n5,2,0.2500,2.400000,111398.59,29.016734,23944.979697,87419.393957,5.195636
n6,2,0.2500,2.400000,125560.23,25131.410957,100416.560156,5.292409,6.966811
n7,3,0.1250,2.200000,116336.98,4981.425270,32457.266955,78874.907955,23.384374
n8,3,0.1250,2.200000,150405.03,120317.030638,30041.866540,29.182874,16.952811
n9,3,0.1250,2.200000,126545.26,270.318027,99544.635846,26719.835463,10.474808
n10,3,0.1250,2.200000,122212.70,97763.066806,24364.271095,31.791763,53.566730
n11,3,0.1250,2.200000,117482.96,93.349594,93970.302023,23320.408391,98.897068
n12,3,0.1250,2.200000,123806.14,31.233375,98990.690764,23511.338599,1272.873202
n13,3,0.1250,2.200000,149844.24,36.258855,119854.746340,372.202778,29581.032086
n14,3,0.1250,2.200000,137078.02,108232.624213,7.630528,28826.296237,11.466859
n15,4,0.0625,2.000000,128270.72,13.901617,17247.327621,102420.809350,8588.677555
n16,4,0.0625,2.000000,126742.14,97011.138394,25.282841,29635.214375,70.502161
n17,4,0.0625,2.000000,208439.24,41250.752419,166711.125060,392.964064,84.402784
n18,4,0.0625,2.000000,164368.61,275.797717,118782.191912,349.536137,44961.083081
n19,4,0.0625,2.000000,146723.66,116991.125356,17.188151,28522.726929,1192.618396
n20,4,0.0625,2.000000,129543.95,118.804921,179.230362,103411.887388,25834.022791
n21,4,0.0625,2.000000,129208.37,103266.644150,23869.418107,595.634150,1476.675784
n22,4,0.0625,2.000000,150339.20,70195.185144,73.529519,79721.208152,349.276338
n23,4,0.0625,2.000000,127697.53,1271.526999,127.328785,26933.018658,99365.653734
n24,4,0.0625,2.000000,127692.95,24033.592747,100672.834295,1056.162385,1930.361040
n25,4,0.0625,2.000000,134218.18,107337.049001,23.598900,26781.532360,75.999203
n26,4,0.0625,2.000000,127542.25,39693.233007,1066.739323,86613.521763,168.752232
n27,4,0.0625,2.000000,166374.14,277.495806,133081.635144,433.922885,32581.089398
n28,4,0.0625,2.000000,156125.19,2807.025458,124843.749347,116.206841,28358.209915
n29,4,0.0625,2.000000,147153.39,35.600632,19.251434,116671.438452,30427.102828
n30,4,0.0625,2.000000,154700.26,123750.219420,766.193260,30057.132377,126.719838
n31,5,0.0312,1.900000,128976.68,103122.856243,1011.437487,22829.693869,2012.690952
n32,5,0.0312,1.900000,139613.07,354.628991,69.914420,111191.580273,27996.942700
n33,5,0.0312,1.900000,134440.15,273.950821,39657.285096,94237.684019,271.232305
n34,5,0.0312,1.900000,157841.92,126171.673837,31052.968443,387.221506,230.059706
n35,5,0.0312,1.900000,248645.64,48857.447317,198516.933537,1079.062239,192.193142
n36,5,0.0312,1.900000,228531.33,534.603216,144695.253448,66718.009874,16583.463063
n37,5,0.0312,1.900000,163116.84,454.564604,1156.132792,71607.181133,89898.956505
n38,5,0.0312,1.900000,171462.46,137144.778872,892.465946,31643.763300,1781.449879
n39,5,0.0312,1.900000,168009.54,134089.840588,22829.616909,8975.965378,2114.117793
n40,5,0.0312,1.900000,144202.07,115080.549425,27119.464570,1766.485000,235.570420
n41,5,0.0312,1.900000,135163.22,101.432372,323.197876,107752.542019,26986.044385
n42,5,0.0312,1.900000,137085.09,39.942987,724.289349,107040.945945,29279.914365
n43,5,0.0312,1.900000,131314.29,105023.632410,3615.347300,21942.465089,732.846449
n44,5,0.0312,1.900000,146344.44,116983.004839,315.964998,829.037573,28216.433229
n45,5,0.0312,1.900000,162508.38,129979.255912,30248.497833,1671.912360,608.717739
n46,5,0.0312,1.900000,155377.69,865.014887,113.666448,123697.058502,30701.947790
n47,5,0.0312,1.900000,129288.14,25976.192271,99959.230721,864.970784,2487.743625
n48,5,0.0312,1.900000,126453.06,267.659652,170.294983,25787.941258,100227.165576
n49,5,0.0312,1.900000,144249.81,12280.231015,3468.910355,16559.643858,111941.019842
n50,5,0.0312,1.900000,121914.65,96824.861445,55.723593,24673.339226,360.726990
n51,5,0.0312,1.900000,158854.25,674.001895,126619.270689,3980.264830,27580.715070
n52,5,0.0312,1.900000,178024.89,141885.796033,36010.649838,103.438625,25.007806
n53,5,0.0312,1.900000,129878.53,3041.243261,13253.834630,10174.438972,103409.010219
n54,5,0.0312,1.900000,137978.03,28880.968617,108892.654385,68.880777,135.528727
n55,5,0.0312,1.900000,189730.99,149960.760063,38226.085584,1305.335375,238.813531
n56,5,0.0312,1.900000,180612.02,34480.165950,144455.117344,1243.186107,433.549198
n57,5,0.0312,1.900000,162425.19,129672.938780,32027.910989,188.309655,536.031342
n58,5,0.0312,1.900000,167863.77,7966.554417,129689.004488,4801.177009,25407.033075
n59,5,0.0312,1.900000,159389.27,290.040806,212.198482,127230.251942,31656.781167
n60,5,0.0312,1.900000,145893.80,207.925150,116647.416308,655.579721,28382.879114
n61,5,0.0312,1.900000,184942.89,146304.346878,36223.273810,495.433796,1919.839683
n62,5,0.0312,1.900000,199243.34,39110.304511,1314.965559,158729.210153,88.863580
n63,6,0.0156,1.800000,132754.72,105166.226535,221.604600,18809.076186,8557.813927
n64,6,0.0156,1.800000,158524.54,49208.127964,781.506651,107745.743813,789.160337
n65,6,0.0156,1.800000,154637.43,123534.162489,7079.847972,18187.019921,5836.404013
n66,6,0.0156,1.800000,142863.86,445.470587,2032.893167,26921.863883,113463.628572
n67,6,0.0156,1.800000,134829.75,150.932149,694.166777,107329.431028,26655.224619
n68,6,0.0156,1.800000,152184.70,121223.849908,11964.497418,18587.142629,409.205792
n69,6,0.0156,1.800000,200939.44,156826.028842,42270.556886,1341.065173,501.792292
n70,6,0.0156,1.800000,197534.90,156952.157287,32998.511356,1854.837228,5729.396480
n71,6,0.0156,1.800000,281631.75,513.134143,209161.928986,63395.143485,8561.541867
n72,6,0.0156,1.800000,309968.03,35316.538329,247833.307905,17688.966452,9129.221838
n73,6,0.0156,1.800000,251756.11,190964.723298,49601.050456,10409.169591,781.171005
n74,6,0.0156,1.800000,221350.02,53027.610500,167230.646051,765.113813,326.645877
n75,6,0.0156,1.800000,172181.89,10606.628001,7821.873037,136008.081192,17745.306303
n76,6,0.0156,1.800000,159758.22,493.738724,32218.791809,1417.043369,125628.649303
n77,6,0.0156,1.800000,193537.37,49891.548212,139510.550836,3053.383826,1081.883586
n78,6,0.0156,1.800000,224006.49,59850.123503,159019.282591,4291.309460,845.770942
n79,6,0.0156,1.800000,182831.68,140212.478413,41247.983296,488.561488,882.656706
n80,6,0.0156,1.800000,178243.47,142118.902802,906.649811,26730.997648,8486.921209
n81,6,0.0156,1.800000,181946.58,144355.927363,35594.772109,1536.412919,459.464199
n82,6,0.0156,1.800000,156689.52,30616.999210,123966.242248,1057.292010,1048.983742
n83,6,0.0156,1.800000,137589.40,30588.273438,106064.414881,632.632071,304.081067
n84,6,0.0156,1.800000,150815.35,21328.904496,509.811470,120211.954054,8764.681802
n85,6,0.0156,1.800000,139321.33,1707.797346,110751.939864,25931.308260,930.284444
n86,6,0.0156,1.800000,142103.08,859.511277,112784.558968,18515.794091,9943.213177
n87,6,0.0156,1.800000,172761.42,137973.608021,33631.781624,312.758604,843.267116
n88,6,0.0156,1.800000,150068.93,1496.425925,322.796629,118281.320331,29968.386901
n89,6,0.0156,1.800000,144470.37,395.644776,108449.217893,32873.064293,2752.443968
n90,6,0.0156,1.800000,181213.87,138523.679557,41961.294488,347.041129,381.854987
n91,6,0.0156,1.800000,203294.67,25160.365504,161848.007100,13057.866183,3228.433256
n92,6,0.0156,1.800000,179878.16,142816.717784,19656.305220,16548.182186,856.959145
n93,6,0.0156,1.800000,164852.31,1027.259944,129882.428479,24840.636897,9101.989120
n94,6,0.0156,1.800000,165380.73,132198.410195,30209.869114,1525.589297,1446.864040
n95,6,0.0156,1.800000,132661.32,105318.827946,24671.780091,1849.116902,821.595750
n96,6,0.0156,1.800000,132568.60,105998.206029,801.591336,24145.877315,1622.923258
n97,6,0.0156,1.800000,129930.48,102683.301927,267.749295,26228.549168,750.877875
n98,6,0.0156,1.800000,126355.63,100871.092824,1510.273968,21128.062138,2846.198032
n99,6,0.0156,1.800000,148177.38,46924.014565,97672.845198,1926.319536,1654.203733
n100,6,0.0156,1.800000,146347.80,1129.706248,111142.723864,32446.097293,1629.274383
n101,6,0.0156,1.800000,141020.70,111261.595924,151.751371,28787.837138,819.520177
n102,6,0.0156,1.800000,128801.93,102938.598471,1466.914066,6559.021302,17837.393155
n103,6,0.0156,1.800000,168203.32,134405.430640,32002.548041,1341.513223,453.824822
n104,6,0.0156,1.800000,164092.19,816.127554,130437.293749,31168.514943,1670.258718
n105,6,0.0156,1.800000,211145.98,167351.358363,7086.800951,843.026550,35864.795348
n106,6,0.0156,1.800000,233169.83,186441.925738,44367.216872,2053.104430,307.581449
n107,6,0.0156,1.800000,134135.47,782.568661,107138.605527,3594.628903,22619.664229
n108,6,0.0156,1.800000,132915.31,1409.599048,915.155238,101987.436477,28603.119833
n109,6,0.0156,1.800000,160013.30,44029.413262,114550.239380,1085.942722,347.702627
n110,6,0.0156,1.800000,162151.15,128991.912508,32688.393738,167.685064,303.158558
n111,6,0.0156,1.800000,207982.42,165968.973015,40296.575531,1079.416770,637.453073
n112,6,0.0156,1.800000,214660.83,953.008016,171134.055020,34971.743301,7602.027032
n113,6,0.0156,1.800000,228128.92,2184.394516,156219.064120,8950.216512,60775.245208
n114,6,0.0156,1.800000,219476.44,6222.279977,162072.084812,50415.873370,766.202558
n115,6,0.0156,1.800000,175456.16,139982.215247,821.448405,33911.293869,741.198218
n116,6,0.0156,1.800000,186603.64,24042.512674,148190.439362,1647.032506,12723.656868
n117,6,0.0156,1.800000,181771.89,145223.232458,1452.569119,31266.264074,3829.821581
n118,6,0.0156,1.800000,159577.63,126232.374704,32672.532811,333.696281,339.023686
n119,6,0.0156,1.800000,170921.39,26011.536028,136261.699119,4790.461133,3857.691230
n120,6,0.0156,1.800000,166263.35,281.736452,123975.649633,39094.166738,2911.796355
n121,6,0.0156,1.800000,176222.06,15507.699846,121272.500536,2834.652181,36607.204166
n122,6,0.0156,1.800000,138522.23,796.994393,81770.154418,10603.211970,45351.864496
n123,6,0.0156,1.800000,195150.35,89416.594936,4504.750230,99863.221158,1365.783684
n124,6,0.0156,1.800000,191797.58,17018.703267,150184.808626,11589.681114,13004.384941
n125,6,0.0156,1.800000,221253.99,7332.121372,176899.272139,28743.210382,8279.387757
n126,6,0.0156,1.800000,221157.12,2897.018881,98529.254614,118740.753566,990.094052
n127,7,0.0078,1.700000,136296.30,3227.785279,106224.789647,5751.029545,21092.697997
n128,7,0.0078,1.700000,140645.66,111125.233290,777.990836,12968.324510,15774.108684
n129,7,0.0078,1.700000,166107.55,30663.607839,131929.361101,1932.942664,1581.635743
n130,7,0.0078,1.700000,184053.92,146893.745693,27729.108720,6722.372980,2708.689746
n131,7,0.0078,1.700000,180427.28,143936.791009,21974.990582,10836.481391,3679.017155
n132,7,0.0078,1.700000,166385.74,132495.052013,30997.890531,1770.218992,1122.582111
n133,7,0.0078,1.700000,143777.93,599.514454,113802.227530,1827.985920,27548.204705
n134,7,0.0078,1.700000,143715.88,27633.463016,110362.275846,2064.914529,3655.222013
n135,7,0.0078,1.700000,144224.42,482.747122,828.363749,30004.909536,112908.396368
n136,7,0.0078,1.700000,146492.22,5672.334741,116042.860673,4152.949532,20624.075129
n137,7,0.0078,1.700000,180311.28,67475.867632,110145.169272,1878.171179,812.074959
n138,7,0.0078,1.700000,182746.54,143745.442434,2616.149915,34084.094059,2300.854922
n139,7,0.0078,1.700000,239813.60,185803.926181,47511.585847,4031.315289,2466.775135
n140,7,0.0078,1.700000,227145.01,92027.995955,123919.674986,5717.597234,5479.742184
n141,7,0.0078,1.700000,205869.05,4763.775855,1674.392454,159248.038399,40182.838402
n142,7,0.0078,1.700000,228362.52,180031.180326,42217.231665,2720.048791,3394.060249
