Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n0,0,1.0000,1.500000,100000.00,19998.377995,79999.410724,0.888624,1.322657
n1,1,0.5000,1.500000,114816.57,12.563517,91775.707647,22779.427455,248.870739
n2,1,0.5000,1.500000,115431.30,5.055647,92313.159270,21.880080,23091.200442
n3,2,0.2500,1.600000,124878.82,81437.962748,43181.872389,74.881838,184.100124
n4,2,0.2500,1.600000,116111.02,12939.104925,14418.276103,88684.829760,68.812280
n5,2,0.2500,1.600000,111399.08,71.167941,35235.772920,76031.953358,60.190751
n6,2,0.2500,1.600000,125557.43,25234.864282,100231.761476,45.802268,45.003002
n7,3,0.1250,1.700000,116880.29,43171.085105,37909.568237,35018.280708,781.355830
n8,3,0.1250,1.700000,149255.60,2266.089272,4407.225903,67863.630173,74718.650089
n9,3,0.1250,1.700000,126655.93,8494.455072,29452.197076,88591.164797,118.117080
n10,3,0.1250,1.700000,122035.33,97628.262353,3884.131314,3849.999620,16672.934667
n11,3,0.1250,1.700000,117388.93,4591.447639,93607.602399,17250.042169,1939.838095
n12,3,0.1250,1.700000,123868.15,4757.591028,98102.914182,14084.710782,6922.938466
n13,3,0.1250,1.700000,149815.32,16319.948724,5158.953183,72913.105054,55423.309912
n14,3,0.1250,1.700000,137073.65,10535.413343,14757.018174,55823.450711,55957.768695
n15,4,0.0625,1.800000,131416.91,74301.680596,24600.212375,15445.575531,17069.439881
n16,4,0.0625,1.800000,124165.09,7213.984071,74906.280889,10180.185976,31864.641941
n17,4,0.0625,1.800000,155497.24,5099.944745,2868.797324,43137.733012,104390.769397
n18,4,0.0625,1.800000,147755.17,63435.422697,10677.932062,57651.507742,15990.304280
n19,4,0.0625,1.800000,138516.42,15168.961302,92876.265773,12197.077404,18274.116364
n20,4,0.0625,1.800000,134940.86,48485.947379,47903.876337,16897.304761,21653.730915
n21,4,0.0625,1.800000,130049.91,13518.656686,23498.868563,58773.196386,34259.192988
n22,4,0.0625,1.800000,146670.95,8387.320646,98855.395628,11202.620792,28225.610647
n23,4,0.0625,1.800000,126982.77,11871.189143,22590.752393,51837.051522,40683.774267
n24,4,0.0625,1.800000,127773.95,33963.225369,17780.001334,51560.314494,24470.405280
n25,4,0.0625,1.800000,134609.88,3244.621150,86878.801233,6299.376773,38187.079638
n26,4,0.0625,1.800000,126899.36,6414.987055,7900.094600,43225.094559,69359.182252
n27,4,0.0625,1.800000,155625.87,60449.740301,2088.241591,84049.700958,9038.191209
n28,4,0.0625,1.800000,147714.95,19338.460081,4156.450772,111171.812261,13048.225363
n29,4,0.0625,1.800000,144114.51,71784.036595,66783.964492,2593.599845,2952.906087
n30,4,0.0625,1.800000,143570.08,1488.235654,26847.519979,7499.218797,107735.109796
n31,5,0.0312,1.900000,119753.19,6578.954200,68899.830264,12811.148870,31463.258998
n32,5,0.0312,1.900000,126843.21,25462.944665,78435.298138,9929.113161,13015.852015
n33,5,0.0312,1.900000,133118.51,7294.445882,5681.818099,38971.383215,81170.858475
n34,5,0.0312,1.900000,121606.22,4790.699577,9771.032707,35067.340094,71977.151054
n35,5,0.0312,1.900000,164306.52,4472.498984,3321.299937,46029.080842,110483.638542
n36,5,0.0312,1.900000,158051.88,81209.532778,11374.394372,21676.702775,43791.249658
n37,5,0.0312,1.900000,135981.54,89721.391763,24617.692588,9039.089170,12603.367907
n38,5,0.0312,1.900000,151891.35,2145.768545,94742.331688,11403.904043,43599.350600
n39,5,0.0312,1.900000,122917.44,13118.091943,18171.697526,31708.067354,59919.586865
n40,5,0.0312,1.900000,136891.14,6037.396905,11243.017783,23717.853014,95892.877119
n41,5,0.0312,1.900000,126399.51,75579.402143,27803.657620,10652.329623,12364.117017
n42,5,0.0312,1.900000,143009.94,90432.791809,28547.651948,11414.266865,12615.231672
n43,5,0.0312,1.900000,133898.58,5308.937424,34299.183275,23412.937037,70877.520068
n44,5,0.0312,1.900000,131307.04,6694.149104,74214.858014,32528.151100,17869.881768
n45,5,0.0312,1.900000,141804.72,4072.181117,13299.394579,37136.286140,87296.858180
n46,5,0.0312,1.900000,156168.90,18724.282352,103474.188118,12129.549859,21840.881097
n47,5,0.0312,1.900000,132866.87,18829.885840,19475.412287,62205.513839,32356.060965
n48,5,0.0312,1.900000,118236.30,38441.823919,50703.328683,15517.981989,13573.169574
n49,5,0.0312,1.900000,130273.14,29206.202171,50959.854667,30266.012565,19841.070953
n50,5,0.0312,1.900000,131316.52,11364.032697,77832.209534,13419.065373,28701.211049
n51,5,0.0312,1.900000,136554.01,49286.221157,15085.315542,27488.744605,44693.728778
n52,5,0.0312,1.900000,133400.58,5528.670010,6384.449547,31736.333276,89751.128937
n53,5,0.0312,1.900000,129831.97,44130.876626,46221.598992,22704.738100,16774.753424
n54,5,0.0312,1.900000,131936.31,6076.243389,5391.864809,81242.114182,39226.083057
n55,5,0.0312,1.900000,161785.83,7001.389912,9984.775126,32179.479868,112620.188529
n56,5,0.0312,1.900000,147314.76,9289.496521,2373.236783,36679.441880,98972.585959
n57,5,0.0312,1.900000,137599.23,5079.614459,8909.695986,92472.443778,31137.474051
n58,5,0.0312,1.900000,146647.40,47260.024954,20130.815933,50948.893867,28307.665432
n59,5,0.0312,1.900000,137089.65,45879.665275,76882.429319,5168.083998,9159.474385
n60,5,0.0312,1.900000,117314.04,5832.187934,6703.409598,67060.795154,37717.643465
n61,5,0.0312,1.900000,144983.81,11706.602572,14086.455680,83384.022371,35806.729428
n62,5,0.0312,1.900000,149657.47,8257.464931,27408.235219,7267.507159,106724.262607
n63,6,0.0156,2.000000,125918.39,17218.232017,63915.792051,20596.920327,24187.447022
n64,6,0.0156,2.000000,121322.99,11205.788231,48246.234427,15594.395865,46276.573219
n65,6,0.0156,2.000000,110607.35,12642.395327,35650.677536,23820.667043,38493.610756
n66,6,0.0156,2.000000,133745.93,60436.522344,34271.365988,21627.841017,17410.204511
n67,6,0.0156,2.000000,134212.15,72925.361706,27724.000028,15063.134957,18499.657954
n68,6,0.0156,2.000000,139647.60,9592.228824,20369.179887,18444.071188,91242.122989
n69,6,0.0156,2.000000,129495.37,10297.841641,14323.282860,35516.552856,69357.691099
n70,6,0.0156,2.000000,125978.92,14188.374405,17362.737205,59140.981547,35286.830061
n71,6,0.0156,2.000000,169914.86,125982.368795,11546.861776,13547.920038,18837.706335
n72,6,0.0156,2.000000,170076.36,8340.177734,3497.308339,55719.304027,102519.573780
n73,6,0.0156,2.000000,173752.07,11856.421071,13703.886526,28042.532357,120149.230631
n74,6,0.0156,2.000000,143953.48,6753.136056,8032.957817,42664.194960,86503.189184
n75,6,0.0156,2.000000,118489.98,30106.624717,30965.314449,16599.561643,40818.482768
n76,6,0.0156,2.000000,140771.18,76601.621982,17789.075245,32367.309889,14013.176456
n77,6,0.0156,2.000000,155043.36,9440.268597,10831.908750,33345.958256,101425.227386
n78,6,0.0156,2.000000,158065.55,13715.078153,12411.538747,30528.115946,101410.812401
n79,6,0.0156,2.000000,128982.14,11420.357516,12916.784507,66994.739497,37650.256351
n80,6,0.0156,2.000000,124329.13,11591.527663,67228.657721,19318.557220,26190.388381
n81,6,0.0156,2.000000,146600.66,8712.577395,12671.889331,34011.851806,91204.342908
n82,6,0.0156,2.000000,142822.81,13212.569206,9664.141143,57921.127715,62024.968726
n83,6,0.0156,2.000000,120217.49,14038.091718,10696.909119,28762.069824,66720.422255
n84,6,0.0156,2.000000,115521.39,19645.122437,57102.825703,13707.211383,25066.225960
n85,6,0.0156,2.000000,127020.45,33371.879806,17776.086338,21448.944458,54423.543262
n86,6,0.0156,2.000000,132472.75,70039.459237,14519.454902,21224.667268,26689.167645
n87,6,0.0156,2.000000,137480.62,9925.117908,16081.165877,74037.303647,37437.034435
n88,6,0.0156,2.000000,139336.09,26933.067746,80198.934620,14622.486632,17581.603538
n89,6,0.0156,2.000000,129072.04,64797.429941,18886.205296,18718.895976,26669.510524
n90,6,0.0156,2.000000,128603.70,10360.112890,11771.619034,56124.533552,50347.435063
n91,6,0.0156,2.000000,146468.71,22710.998131,12048.285013,37567.182839,74142.241265
n92,6,0.0156,2.000000,146950.41,11915.387887,23252.485601,20324.627479,91457.908784
n93,6,0.0156,2.000000,132867.19,63777.406089,16643.407292,23408.297822,29038.080987
n94,6,0.0156,2.000000,170717.48,5634.726938,12402.811340,72574.589086,80105.351822
n95,6,0.0156,2.000000,129557.74,14208.192056,17693.814353,33550.499902,64105.237331
n96,6,0.0156,2.000000,137912.96,5906.124115,75841.870913,17591.330417,38573.637870
n97,6,0.0156,2.000000,111130.88,15563.574990,52556.917565,16931.101120,26079.281535
n98,6,0.0156,2.000000,110370.79,9634.572559,21402.031246,37904.941648,41429.246075
n99,6,0.0156,2.000000,130093.83,14005.967926,21435.665025,37043.516136,57608.681874
n100,6,0.0156,2.000000,133326.96,54328.324198,19901.654176,21073.332396,38023.644504
n101,6,0.0156,2.000000,138763.63,10188.023287,80065.651130,18844.954238,29665.003480
n102,6,0.0156,2.000000,123981.60,10336.529502,50274.187887,38335.958468,25034.926000
n103,6,0.0156,2.000000,143848.23,5847.590226,15176.517148,35793.571246,87030.554710
n104,6,0.0156,2.000000,130837.42,60630.772250,16047.294456,19305.556164,34853.794944
n105,6,0.0156,2.000000,139443.55,15893.024514,15624.420420,74326.158555,33599.948513
n106,6,0.0156,2.000000,139742.43,6830.863516,12600.052434,41869.400595,78442.115811
n107,6,0.0156,2.000000,126094.40,15366.081667,8762.379134,54331.651728,47634.290403
n108,6,0.0156,2.000000,134653.77,35862.969637,58842.286557,18912.725357,21035.788271
n109,6,0.0156,2.000000,132559.12,12457.565485,11957.043990,28453.123872,79691.388967
n110,6,0.0156,2.000000,139186.95,5639.025319,7678.144438,83768.400018,42101.380150
n111,6,0.0156,2.000000,167568.57,4514.738090,9502.627049,61488.869812,92062.335843
n112,6,0.0156,2.000000,171498.65,113520.503438,8122.294199,17926.407934,31929.443064
n113,6,0.0156,2.000000,153116.80,80235.791561,17975.676761,35267.507479,19637.820535
n114,6,0.0156,2.000000,151166.47,27258.954807,15289.793655,16559.239240,92058.480498
n115,6,0.0156,2.000000,142117.05,6206.077747,52807.721091,12344.861547,70758.392632
n116,6,0.0156,2.000000,136024.83,14296.989178,11764.771864,73220.580767,36742.492866
n117,6,0.0156,2.000000,144971.53,5636.611794,82060.749074,18100.450981,39173.716887
n118,6,0.0156,2.000000,148808.96,6288.120905,7888.926357,62394.963355,72236.946630
n119,6,0.0156,2.000000,135956.67,21201.528698,11052.480155,47237.392158,56465.271991
n120,6,0.0156,2.000000,127627.88,79297.776785,11947.679764,14990.387351,21392.032344
n121,6,0.0156,2.000000,124080.06,17692.645841,12426.866599,63273.186823,30687.361916
n122,6,0.0156,2.000000,114370.79,25400.031612,19185.370721,24349.748122,45435.638962
