targetR,variance,stock1,stock2,bonds,mm
0.030000,0.000360,0.045586,0.073526,0.156636,0.724253
0.031000,0.000412,0.050045,0.080497,0.173602,0.695856
0.032000,0.000469,0.054504,0.087468,0.190569,0.667460
0.033000,0.000531,0.058963,0.094439,0.207535,0.639064
0.034000,0.000597,0.063421,0.101410,0.224501,0.610668
0.035000,0.000668,0.067880,0.108381,0.241468,0.582271
0.036000,0.000744,0.072339,0.115352,0.258434,0.553875
0.037000,0.000825,0.076798,0.122323,0.275400,0.525479
0.038000,0.000911,0.081257,0.129294,0.292367,0.497083
0.039000,0.001001,0.085716,0.136265,0.309333,0.468686
0.040000,0.001096,0.090175,0.143236,0.326299,0.440290
0.041000,0.001196,0.094634,0.150207,0.343266,0.411894
0.042000,0.001300,0.099093,0.157178,0.360232,0.383498
0.043000,0.001409,0.103551,0.164149,0.377199,0.355101
0.044000,0.001523,0.108010,0.171120,0.394165,0.326705
0.045000,0.001642,0.112469,0.178091,0.411131,0.298309
0.046000,0.001766,0.116928,0.185062,0.428098,0.269913
0.047000,0.001894,0.121387,0.192033,0.445064,0.241516
0.048000,0.002027,0.125846,0.199004,0.462030,0.213120
0.049000,0.002165,0.130305,0.205975,0.478997,0.184724
0.050000,0.002307,0.134764,0.212946,0.495963,0.156328
0.051000,0.002454,0.139223,0.219917,0.512929,0.127931
0.052000,0.002606,0.143682,0.226888,0.529895,0.099535
0.053000,0.002763,0.148140,0.233859,0.546862,0.071139
0.054000,0.002925,0.152600,0.240830,0.563827,0.042743
0.055000,0.003091,0.157059,0.247801,0.580790,0.014350
0.056000,0.003263,0.166390,0.256019,0.577587,0.000004
0.057000,0.003450,0.180695,0.265509,0.553795,0.000001
0.058000,0.003651,0.195000,0.275000,0.529999,0.000001
0.059000,0.003868,0.209306,0.284491,0.506203,0.000000
0.060000,0.004100,0.223611,0.293982,0.482407,0.000000
0.061000,0.004347,0.237917,0.303472,0.458611,0.000000
0.062000,0.004610,0.252222,0.312963,0.434814,0.000000
0.063000,0.004888,0.266528,0.322454,0.411018,0.000000
0.064000,0.005181,0.280833,0.331944,0.387222,0.000000
0.065000,0.005489,0.295139,0.341435,0.363426,0.000000
0.066000,0.005813,0.309445,0.350926,0.339629,0.000000
0.067000,0.006152,0.323750,0.360417,0.315833,0.000000
0.068000,0.006506,0.338056,0.369907,0.292037,0.000000
0.069000,0.006875,0.352361,0.379398,0.268241,0.000000
0.070000,0.007260,0.366667,0.388889,0.244444,0.000000
0.071000,0.007660,0.380972,0.398380,0.220648,0.000000
0.072000,0.008075,0.395278,0.407870,0.196852,0.000000
0.073000,0.008506,0.409584,0.417361,0.173055,0.000000
0.074000,0.008951,0.423889,0.426852,0.149259,0.000000
0.075000,0.009412,0.438195,0.436342,0.125463,0.000000
0.076000,0.009889,0.452500,0.445833,0.101667,0.000000
0.077000,0.010380,0.466806,0.455324,0.077870,0.000000
0.078000,0.010887,0.481111,0.464815,0.054074,0.000000
0.079000,0.011409,0.495417,0.474305,0.030278,0.000000
0.080000,0.011947,0.509724,0.483794,0.006482,0.000000
0.081000,0.012524,0.550001,0.449998,0.000000,0.000000
0.082000,0.013204,0.600001,0.399999,0.000000,0.000000
0.083000,0.013992,0.650000,0.349999,0.000000,0.000000
0.084000,0.014886,0.700000,0.299999,0.000000,0.000000
0.085000,0.015888,0.750000,0.250000,0.000000,0.000000
0.086000,0.016996,0.800000,0.200000,0.000000,0.000000
0.087000,0.018212,0.850000,0.150000,0.000000,0.000000
0.088000,0.019534,0.900000,0.100000,0.000000,0.000000
0.089000,0.020964,0.950000,0.050000,0.000000,0.000000
0.090000,0.022500,1.000000,0.000000,0.000000,0.000000
